ID,Player,Country,Continent,Team,TotalOwnGoals,TotalOwnGoalHauls,TotalOwnGoalHattricks,TotalOwnGoalBraces,TotalHomeOwnGoals,TotalAwayOwnGoals
1,Antonne Robinson,United States,North America,Fulham,2,0,0,0,1,1
2,Jack Robinson,England,Europe,Sheffield United,2,0,0,0,2,0
3,Konstantinos Mavropanos,Greece,Europe,West Ham United,2,0,0,0,1,1
4,Daiki Hashioka,Japan,Asia,Luton Town,2,0,0,0,0,2
5,Dean Henderson,England,Europe,Crystal Palace,2,0,0,0,1,1
6,Emiliano Martinez,Argentina,South America,Aston Villa,2,0,0,0,0,2
7,Lisandro Martinez,Argentina,South America,Manchester United,1,0,0,0,0,1
8,Jordan Pickford,England,Europe,Everton,1,0,0,0,0,1
9,Cristian Romero,Argentina,South America,Tottenham Hotspur,1,0,0,0,0,1
10,Milos Kerkez,Hungary,Europe,Bournemouth,1,0,0,0,0,1
11,Pervis Estupinan,Ecuador,South America,Brighton & Hove Albion,1,0,0,0,0,1
12,Ruben Dias,Portugal,Europe,Manchester City,1,0,0,0,0,1
13,Joel Matip,Cameroon,Africa,Liverpool,1,0,0,0,0,1
14,Ameen Al-Dakhil,Belgium,Europe,Burnley,1,0,0,0,1,0
15,Wes Foderingham,England,Europe,Sheffield United,1,0,0,0,0,1
